@relation tce_half-weka.filters.unsupervised.attribute.Remove-R40-52-weka.filters.unsupervised.instance.Randomize-S42

@attribute tce_period numeric
@attribute tce_time0bk numeric
@attribute tce_ror numeric
@attribute tce_dor numeric
@attribute tce_incl numeric
@attribute tce_impact numeric
@attribute tce_duration numeric
@attribute tce_ingress numeric
@attribute tce_depth numeric
@attribute tce_ldm_coeff1 numeric
@attribute tce_ldm_coeff2 numeric
@attribute tce_ldm_coeff3 numeric
@attribute tce_ldm_coeff4 numeric
@attribute tce_num_transits numeric
@attribute tce_full_conv numeric
@attribute tce_model_snr numeric
@attribute tce_model_chisq numeric
@attribute tce_model_dof numeric
@attribute tce_robstat numeric
@attribute tce_dof1 numeric
@attribute tce_dof2 numeric
@attribute tce_chisq1 numeric
@attribute tce_chisq2 numeric
@attribute tce_prad numeric
@attribute tce_sma numeric
@attribute tce_eqt numeric
@attribute tce_nkoi numeric
@attribute tce_steff numeric
@attribute tce_slogg numeric
@attribute tce_smet numeric
@attribute tce_sradius numeric
@attribute tce_max_sngle_ev numeric
@attribute tce_max_mult_ev numeric
@attribute tce_minmes numeric
@attribute tce_mesmad numeric
@attribute tce_bin_oedp_stat numeric
@attribute tce_rmesmad numeric
@attribute tce_rsnrmes numeric
@attribute tce_rminmes numeric
@attribute av_training_set {PC,AFP,NTP}

@data
0.57263,131.603,0.002314,1.013529,57.75,0.5408,3.642,0.01187,5.992,0.435286,0.368722,0.01475,-0.089378,2342,1,1.829,32300,39590,11.28,29930,2301,572400,6619,0.2967,0.01348,2440,0,5916,4.3,-0.06,1.175,149.2,7.386,-3.498,1.797,0.000001,4.11,0.2476,0.4735,NTP
2.68722,132.819,0.012432,2.032974,75.76,0.5,8.89,0.145,170.6,0.404709,0.822038,-0.890035,0.326645,507,1,11.1,32510,41090,16.12,6474,497,10700,2068,2.404,0.04391,2070,0,7392,4.13,-0.04,1.772,5.438,9.687,-11.67,4.482,0.000074,2.161,1.146,1.205,AFP
459.286,260.241,0.008465,672.92259,89.96,0.4886,4.6,0.05058,81.1,0.323022,0.699815,-0.38307,0.064124,3,1,1.727,70.68,76.59,7.092,39,2,28.87,0.7141,0.992,1.116,256,0,5916,4.32,-0.36,1.074,9.391,7.123,-4.101,0.7254,0,9.82,0.2425,0.5757,NTP
0.636799,131.577,0.009899,1.188265,40.76,0.9,1.876,0.09298,86.49,0.399435,0.809928,-0.83105,0.297546,2104,1,8.751,28750,38060,14.19,26900,2068,25440,2495,2.14,0.01686,3380,0,7071,4.04,0.02,1.981,9.739,14.01,-10.76,6.663,0.003961,2.102,0.6248,0.7684,AFP
109.197,204.788,0.009025,57.85398,89.84,0.1629,14.36,0.1319,110.6,0.857192,-1.134506,1.682289,-0.484472,3,1,2.55,328.7,317.7,15.17,39,2,95.73,103.6,69.85,0.5424,1960,0,3891,0.99,-0.18,70.92,36.55,9.173,-3.633,0.6467,0,14.18,0.2779,0.3961,NTP
459.15,260.274,0.008023,284.94132,89.89,0.533,10.53,0.1167,77.86,0.886003,-0.97442,1.12551,-0.075647,3,1,5.954,377.8,198.1,7.531,39,2,474.5,0.4037,135.2,1.217,1630,0,3273,0.12,-0.06,154.4,44.61,11.68,-11.55,0.6593,0.3494,17.72,0.5097,0.9892,NTP
459.271,260.305,0.053525,402.17828,89.87,0.896,4.834,1.052,2374,0.553674,-0.182746,0.805085,-0.402218,3,1,9.766,201.7,79.12,18.05,39,2,53.08,7.941,4.667,1.117,202,0,5411,4.58,-0.08,0.799,15.87,8.481,-3.686,0.6618,0,12.82,1.152,0.4346,NTP
5.47223,131.629,0.009336,1.158647,38.03,0.9126,15.56,0.8239,72.52,0.356257,0.550458,-0.15496,-0.035715,255,1,12.27,28290,34240,11.27,3159,242,1892,528.7,0.8252,0.05809,951,0,5775,4.56,-0.38,0.81,3.958,8.424,-5.524,2.019,0.000001,4.173,1.456,0.6557,NTP
4.30097,131.75,0.003968,1.356483,49.46,0.8816,11.63,0.2036,14.3,0.458296,0.520539,-0.446582,0.130311,312,1,8.568,24340,27770,11.97,3952,303,2823,666.2,0.9326,0.06362,2020,0,7884,4.04,0.07,2.154,2.882,8.938,-6.562,3.982,0.001667,2.245,0.9586,0.7342,AFP
2.83265,134.25,0.004456,1.166452,51.27,0.7299,12.8,0.1209,20.33,0.331339,0.834081,-0.705022,0.221115,480,1,7.084,33160,39970,13.93,6019,462,8454,1982,0.5636,0.04142,1520,0,6517,4.38,-0.14,1.159,4.895,7.727,-5.896,2.932,0,2.636,0.9168,0.763,NTP
3.4096,133.167,0.005313,3.448207,88.16,0.111,7.548,0.04038,33.22,0.1649,1.254206,-1.162216,0.399487,398,1,9.939,23880,27670,13.06,5044,387,5997,1555,0.8928,0.0438,1660,0,6359,4.05,-0.66,1.54,3.714,10.38,-4.642,0.7669,0.228,13.53,0.9577,0.4473,AFP
3.41285,131.615,0.032106,1.05719,18.94,1,6.301,3.15,335.1,0.237413,1.157704,-1.161955,0.410947,313,1,19.64,18350,24430,16.22,3965,304,4274,333.8,5.627,0.04775,1830,0,7140,4.12,-0.48,1.606,5.618,14.41,-14.33,7.064,0.1259,2.039,1.364,0.9947,AFP
5.33408,131.982,0.066213,6.062078,85.27,0.4999,6.33,0.5139,4944,0.394745,0.538532,-0.235584,0.015986,253,1,569.6,12410,14710,785.2,3250,249,95450,1340,8.02,0.05997,1150,1,6057,4.35,-0.12,1.11,51.16,579.2,-2.21,0.5942,0.9582,974.8,0.9835,0.003816,PC
0.715461,131.784,0.00178,3.323752,81.2,0.5086,1.419,0.0034,3.474,0.458054,0.533063,-0.469551,0.140127,1441,1,7.2,17690,21060,8.889,18360,1411,29350,2275,0.3831,0.01904,3540,0,7886,4.1,0.07,1.972,43.8,7.69,-6.441,2.366,0.000016,3.251,0.9363,0.8375,NTP
1.56063,132.349,0.014082,1.24925,41.8,0.9313,3.829,0.369,164.3,0.308688,0.97824,-0.95002,0.334044,681,1,13.99,16680,19030,17.57,8671,666,9422,987.8,3.102,0.02976,2460,0,6767,3.99,-0.16,2.019,3.676,14.28,-6.543,2.211,0.06768,6.458,0.9798,0.4581,AFP
