@relation tce_features-weka.filters.unsupervised.attribute.Remove-R40-52-weka.filters.unsupervised.instance.Randomize-S42

@attribute tce_period numeric
@attribute tce_time0bk numeric
@attribute tce_ror numeric
@attribute tce_dor numeric
@attribute tce_incl numeric
@attribute tce_impact numeric
@attribute tce_duration numeric
@attribute tce_ingress numeric
@attribute tce_depth numeric
@attribute tce_ldm_coeff1 numeric
@attribute tce_ldm_coeff2 numeric
@attribute tce_ldm_coeff3 numeric
@attribute tce_ldm_coeff4 numeric
@attribute tce_num_transits numeric
@attribute tce_full_conv numeric
@attribute tce_model_snr numeric
@attribute tce_model_chisq numeric
@attribute tce_model_dof numeric
@attribute tce_robstat numeric
@attribute tce_dof1 numeric
@attribute tce_dof2 numeric
@attribute tce_chisq1 numeric
@attribute tce_chisq2 numeric
@attribute tce_prad numeric
@attribute tce_sma numeric
@attribute tce_eqt numeric
@attribute tce_nkoi numeric
@attribute tce_steff numeric
@attribute tce_slogg numeric
@attribute tce_smet numeric
@attribute tce_sradius numeric
@attribute tce_max_sngle_ev numeric
@attribute tce_max_mult_ev numeric
@attribute tce_minmes numeric
@attribute tce_mesmad numeric
@attribute tce_bin_oedp_stat numeric
@attribute tce_rmesmad numeric
@attribute tce_rsnrmes numeric
@attribute tce_rminmes numeric
@attribute av_training_set {PC,AFP,NTP}

@data
4.76884,132.105,0.008934,16.861381,87.6,0.7068,1.556,0.02728,82.31,0.298713,0.814244,-0.562154,0.140803,225,1,13.63,2723,3346,14.12,2873,220,1888,297,0.8959,0.05435,1100,1,6060,4.49,-0.38,0.919,9.163,12.15,-2.706,0.8284,0.3892,14.67,1.121,0.2226,AFP
14.5915,137.077,0.037999,91.779012,89.54,0.7434,0.8799,0.069,1425,0.405649,0.473087,-0.127408,-0.029507,90,1,105.7,1141,1315,105.9,1144,87,1945,300.5,5.44,0.1166,879,1,5940,4.2,-0.12,1.312,18.31,93.14,-4.134,0.7677,8.597,121.3,1.135,0.04439,AFP
505.963,400.835,0.012241,1462.5362,89.97,0.6953,1.944,0.04501,155.3,0.873651,-0.898825,1.006723,-0.018399,2,1,7.315,47.35,31.85,7.316,39,2,128.3,12.65,204.7,1.381,1530,0,3288,0.2,0.04,153.3,30.43,10.78,-10.91,0.6519,0,16.53,0.6789,1.012,NTP
1.53818,132.494,0.014662,5.952817,85.5,0.4673,1.778,0.03274,251.4,0.578793,-0.382746,1.104096,-0.510041,740,1,16.71,10070,12090,17.86,9490,729,33080,2159,1.162,0.02402,1240,1,5112,4.61,-0.2,0.726,23.51,14.33,-4.588,0.9858,3.161,14.54,1.166,0.3201,PC
0.525603,131.999,0.004751,1.01789,27.29,0.9046,1.725,0.04396,19.72,0.445079,0.712774,-0.721048,0.256779,2523,1,9.355,35530,43130,9.254,32240,2479,38520,4007,1.419,0.01565,4030,1,6910,3.83,0.22,2.737,5.797,9.902,-6.008,4.413,0.002344,2.244,0.9448,0.6067,AFP
1.52232,131.53,0.079459,1.18214,32.28,0.9995,4.012,2.006,2045,0.4974,0.7694,-0.6054,0.1574,58,1,10.15,1714,2303,13.47,754,57,2892,207.5,2.341,0.01682,604,0,3420,5.01,-0.2,0.27,6.966,7.917,-7.805,2.155,0.8436,3.674,1.283,0.9859,NTP
1.24661,132.228,0.002558,1.037729,50.2,0.6642,6.892,0.03141,6.911,0.340803,0.867463,-0.805565,0.272692,866,1,3.224,28110,33530,11.78,11010,846,26140,2330,0.3978,0.02472,2260,0,6737,4.24,-0.1,1.425,4.596,7.303,-1.336,0.6602,1.191,11.06,0.4414,0.183,NTP
14.4333,143.618,0.021335,42.902851,89.1,0.6718,1.977,0.07402,484.2,0.617151,-0.547439,1.29223,-0.552989,91,1,16.25,1463,1717,16.15,1144,87,693.7,112.2,1.648,0.1061,559,1,4902,4.62,-0.12,0.708,5.837,14.96,-3.453,0.7307,1.62,20.48,1.086,0.2307,PC
0.570607,131.855,0.005578,2.9078,88.03,0.1,1.5,0.008404,38.76,0.422517,0.081251,0.556167,-0.284824,2345,1,11.47,18710,25110,14.55,30100,2314,52300,4685,16.02,0.02003,7830,0,4896,2.12,-0.5,26.32,3.966,19.38,-19.8,9.91,0,1.955,0.5919,1.022,AFP
31.0243,135.089,0.263187,25.805251,87.81,0.9872,7.238,15.15,29330,0.397926,0.519499,-0.202901,0.001492,42,1,2594,2856,2666,3723,546,41,664200,3715,32.65,0.1929,645,1,6021,4.32,-0.12,1.137,841.4,2746,-4.17,0.7428,1.601,3697,0.9444,0.001519,AFP
