@relation tce_half-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42

@attribute tce_period numeric
@attribute tce_time0bk numeric
@attribute tce_ror numeric
@attribute tce_dor numeric
@attribute tce_incl numeric
@attribute tce_impact numeric
@attribute tce_duration numeric
@attribute tce_ingress numeric
@attribute tce_depth numeric
@attribute tce_ldm_coeff1 numeric
@attribute tce_ldm_coeff2 numeric
@attribute tce_ldm_coeff3 numeric
@attribute tce_ldm_coeff4 numeric
@attribute tce_num_transits numeric
@attribute tce_full_conv numeric
@attribute tce_model_snr numeric
@attribute tce_model_chisq numeric
@attribute tce_model_dof numeric
@attribute tce_robstat numeric
@attribute tce_dof1 numeric
@attribute tce_dof2 numeric
@attribute tce_chisq1 numeric
@attribute tce_chisq2 numeric
@attribute tce_prad numeric
@attribute tce_sma numeric
@attribute tce_eqt numeric
@attribute tce_nkoi numeric
@attribute tce_steff numeric
@attribute tce_slogg numeric
@attribute tce_smet numeric
@attribute tce_sradius numeric
@attribute tce_max_sngle_ev numeric
@attribute tce_max_mult_ev numeric
@attribute tce_minmes numeric
@attribute tce_mesmad numeric
@attribute tce_bin_oedp_stat numeric
@attribute tce_rmesmad numeric
@attribute tce_rsnrmes numeric
@attribute tce_rminmes numeric
@attribute tce_fwm_stat numeric
@attribute tce_fwm_sra numeric
@attribute tce_fwm_sdec numeric
@attribute tce_fwm_srao numeric
@attribute tce_fwm_sdeco numeric
@attribute tce_fwm_prao numeric
@attribute tce_fwm_pdeco numeric
@attribute tce_dicco_mra numeric
@attribute tce_dicco_mdec numeric
@attribute tce_dicco_msky numeric
@attribute tce_dikco_mra numeric
@attribute tce_dikco_mdec numeric
@attribute tce_dikco_msky numeric
@attribute av_training_set {PC,AFP,NTP}

@data
0.552571,131.58,0.024445,2.151936,87.34,0.1,2,0.04819,698.1,0.293639,0.972604,-0.902156,0.305646,1458,0,-1,-1,-1,14.57,18060,1388,29630,4617,3.452,0.01408,2820,0,6672,4.3,-0.2,1.294,5.407,9.788,-3.854,1.323,0,7.401,-0.1022,0.3937,-1,0,0,0,0,0,0,0,0,0,0,0,0,AFP
0.683606,131.657,0.00572,2.566037,82.95,0.315,1.944,0.01227,38.18,0.321022,0.734153,-0.447298,0.095574,1911,1,16.26,29450,35810,13.76,24480,1882,18150,2304,0.9782,0.01515,2680,0,5978,4.04,-0.28,1.567,7.441,11.93,-8.7,0.9337,0.000151,12.78,1.363,0.7294,108.2,19.389406,42.524078,3.732,-0.6447,-0.000145,0.000023,2.9884,-2.2598,3.7466,2.9446,-2.308,3.7413,NTP
6.55852,133.812,0.008602,21.695819,88.46,0.5849,1.898,0.02449,81.52,0.499798,0.104399,0.385255,-0.242011,204,1,14.05,3412,3754,13.85,2574,197,2993,864.9,0.9386,0.06859,974,1,5780,4.44,0,1,18.47,12.96,-2.897,0.7755,0.5738,16.72,1.084,0.2234,3261.7,19.335668,38.439064,5.301,43.93,-0.000604,-0.003728,1.1938,22.676,22.707,-1.2635,20.752,20.79,AFP
374.316,431.513,0.5,855.95961,89.99,0.1,5,1.679,288400,0.266731,0.895286,-0.647965,0.172847,0,0,-1,-1,-1,9706,39,2,118900000,3426000,44.47,0.9832,241,1,5997,4.57,-0.5,0.815,7168,7698,-1721,0.9228,0,8342,-0.00013,0.2235,-1,0,0,0,0,0,0,0,0,0,0,0,0,NTP
0.566779,131.809,0.005014,1.809838,67.25,0.7,1.725,0.0168,26.15,0.74031,-0.790386,1.447402,-0.550593,2364,1,5.179,32160,39300,10.79,30250,2326,35820,3353,0.4727,0.01252,1790,0,4879,4.48,0.48,0.864,5.006,8.725,-3.522,1.06,0,8.228,0.5936,0.4037,21.593,19.413071,42.480115,-5.064,4.409,0.00013,-0.000122,-1.3753,0.91475,1.6517,-1.4441,0.58404,1.5577,NTP
2.94937,133.664,0.007804,3.924841,87.16,0.1945,5.677,0.04567,70.98,0.273498,1.017454,-0.942209,0.317073,452,1,15.63,20280,24420,19.91,5798,445,7320,1393,1.04,0.0424,1570,0,6640,4.33,-0.28,1.221,4.906,15.23,-5.408,2.12,0.2872,7.184,1.026,0.355,9.4483,19.811695,40.478903,0.4987,-0.6374,-0.000025,0.00007,-0.38882,0.011651,0.389,-0.28707,0.089914,0.30082,NTP
10.328,139.429,0.021017,10.358885,89.46,0.09707,7.742,0.1608,539.2,0.492454,0.08866,0.429276,-0.258204,122,1,20.61,7336,8669,42.3,1586,121,1867,1052,2.348,0.08876,843,1,5627,4.36,-0.1,1.024,5.244,19.92,-2.108,0.747,0.8664,26.67,1.035,0.1058,1.8596,19.179785,38.886339,0.09084,-0.401,0.000032,0.000187,0.18126,-0.36256,0.40534,0.22397,-0.050738,0.22964,AFP
2.62325,132.649,0.005954,2.160156,77.25,0.4768,8.217,0.06284,39.74,0.337641,0.885095,-0.826888,0.284868,414,1,11.09,25820,31110,14.09,5239,402,6308,1087,1.428,0.04249,2100,0,6629,3.93,-0.1,2.198,4.802,11.52,-6.757,3.588,0.4069,3.211,0.9623,0.5864,13.352,19.682674,41.189458,1.393,-0.9798,-0.000058,0.00004,-0.037242,0.16433,0.1685,-0.014556,0.099473,0.10053,NTP
0.761764,132.074,0.011351,2.804208,87.86,0.1049,2.087,0.02369,147.3,0.569208,0.088722,-0.000411,-0.027676,1024,1,7.846,17480,18240,9.526,11700,899,16380,2304,3.435,0.02165,4460,1,8939,3.92,0.07,2.773,6.606,8.453,-5.746,2.428,0,3.482,0.9283,0.6798,19.298,19.881534,40.172283,-0.2924,-0.05985,-0.000054,0.000015,0.023873,-0.067515,0.071612,-0.2296,-0.47559,0.52811,NTP
0.626638,131.896,0.006424,1.69204,89.87,0.003734,2.847,0.01818,49.38,0.264926,0.851697,-0.540046,0.121042,2142,1,8.884,35230,38840,10.15,27350,2103,24550,3560,0.5874,0.0132,2030,0,5778,4.48,-0.6,0.838,4.1,7.446,-7.723,2.438,0.1695,3.055,1.193,1.037,26.089,19.102727,38.522299,-2.337,3.309,0.000095,-0.00019,-0.30311,2.424,2.4429,-0.32924,2.3142,2.3375,AFP
3.77231,133.059,0.003329,2.362216,86.65,0.1379,12.12,0.04101,13.14,0.347678,0.756007,-0.56952,0.164637,362,1,7.421,33020,39880,36.05,4498,345,13640,10670,0.6601,0.05016,1650,0,6230,3.99,-0.12,1.817,8.746,7.108,-9.92,3.979,0.6295,1.786,1.044,1.395,2.112,19.801427,40.465896,-0.7775,-0.6997,0.000011,0.000005,0.26018,-1.7411,1.7604,0.11966,-2.2277,2.2309,NTP
10.2655,136.496,0.020983,15.790339,87.49,0.6925,3.726,0.1445,461.8,0.495508,0.09212,0.41767,-0.256014,124,1,22.16,3714,4293,24.78,1573,120,912,569.6,1.96,0.09091,771,1,5693,4.55,-0.08,0.856,7.249,22.71,-3.237,0.9452,2.719,24.02,0.9759,0.1426,243.12,19.485343,38.285664,3.077,4.084,-0.001473,-0.002058,7.5004,4.7622,8.8845,7.4671,4.7578,8.854,AFP
0.683982,131.976,0.007188,1.890989,74.67,0.5,2.416,0.02294,57.31,0.442074,0.350494,-0.108886,-0.026468,1954,1,16.55,36690,44910,15.21,25040,1925,42680,2561,2.55,0.01929,4610,0,8048,3.73,-0.1,3.251,7.738,13.74,-10.15,2.506,0.000051,5.481,1.205,0.7389,4.69,19.746633,42.437002,0.2667,-0.1369,-0.000021,0.000021,-0.035792,0.25628,0.25877,-0.055058,0.30893,0.3138,NTP
23.1377,152.161,0.011882,48.393252,89.77,0.1976,3.625,0.04427,168.2,0.46663,0.360318,-0.037522,-0.056595,58,1,12.42,1467,1859,14.2,663,50,391.3,87.23,2.182,0.1727,837,2,6078,4.09,0.14,1.683,4.28,11.85,-3.41,0.6571,0.093,18.04,1.048,0.2878,5.4318,19.470454,37.776283,0.1356,0.3344,-0.000092,-0.000127,1.3191,0.031437,1.3195,1.0675,-0.18721,1.0838,PC
12.2094,140.554,0.02451,12.412642,86.06,0.8527,4.267,0.3526,543.4,0.545882,-0.060441,0.598328,-0.321456,90,1,37.85,3057,3574,46.31,1118,85,1623,263.6,2.733,0.102,792,4,5670,4.4,0.06,1.022,6.667,35.68,-3.346,0.7215,1.104,49.45,1.061,0.09378,275.78,19.437116,39.226266,-0.6337,-3.685,-0.000171,-0.000667,1.3633,2.2948,2.6692,0.20585,-0.018281,0.20666,PC
49.1789,165.76,0.020167,58.323794,89.55,0.4548,5.882,0.1459,466.6,0.305836,0.683772,-0.296519,0.017947,21,1,8.479,965.7,1139,9.261,234,17,130,23.41,1.846,0.2401,468,1,5674,4.47,-0.54,0.839,6.286,7.731,-3.307,0.6972,0.8017,11.09,1.097,0.4277,5.1867,18.911863,39.964792,-0.667,1.844,0.000134,-0.000891,-0.08832,-0.15541,0.17875,-0.34459,-0.070264,0.35169,PC
0.880786,132.138,0.017002,2.269984,87.48,0.1,3,0.05065,338.5,0.241636,1.147144,-1.131199,0.406532,797,0,-1,-1,-1,13.37,6461,496,22770,2005,5.894,0.02073,3630,0,6649,3.62,-0.38,3.177,4.653,9.049,-8.668,6.366,0,1.421,-0.1105,0.958,-1,0,0,0,0,0,0,0,0,0,0,0,0,NTP
